Borough,Neighborhood,Season,Day_of_Week,Time_Bucket,Avg_Complaints_Per_Week,Std_Complaints,Num_Weeks
BRONX,High Bridge and Morrisania,Fall,0,afternoon,10.487179487179487,6.56188045138549,78
BRONX,High Bridge and Morrisania,Fall,0,evening,17.564102564102566,13.373349873778329,78
BRONX,High Bridge and Morrisania,Fall,0,morning,6.884615384615385,3.970608802908474,78
BRONX,High Bridge and Morrisania,Fall,0,night,23.871794871794872,19.541071614767706,78
BRONX,High Bridge and Morrisania,Fall,0,overnight,7.909090909090909,7.992071429962748,77
BRONX,High Bridge and Morrisania,Fall,1,afternoon,10.256410256410257,5.089933782224078,78
BRONX,High Bridge and Morrisania,Fall,1,evening,15.756410256410257,6.9678033159872586,78
BRONX,High Bridge and Morrisania,Fall,1,morning,5.82051282051282,3.2383400820245067,78
BRONX,High Bridge and Morrisania,Fall,1,night,17.935897435897434,9.30764208229996,78
BRONX,High Bridge and Morrisania,Fall,1,overnight,5.894736842105263,3.8037838963096418,76
BRONX,High Bridge and Morrisania,Fall,2,afternoon,9.961538461538462,4.148046974938171,78
BRONX,High Bridge and Morrisania,Fall,2,evening,17.28205128205128,7.446602007082255,78
BRONX,High Bridge and Morrisania,Fall,2,morning,6.243589743589744,3.7074368834935343,78
BRONX,High Bridge and Morrisania,Fall,2,night,17.474358974358974,8.754552595203887,78
BRONX,High Bridge and Morrisania,Fall,2,overnight,5.44,3.054637590748011,75
BRONX,High Bridge and Morrisania,Fall,3,afternoon,11.320512820512821,5.948902746678911,78
BRONX,High Bridge and Morrisania,Fall,3,evening,17.82051282051282,8.336656014244172,78
BRONX,High Bridge and Morrisania,Fall,3,morning,7.053333333333334,3.552286410009578,75
BRONX,High Bridge and Morrisania,Fall,3,night,20.73076923076923,10.879115076840801,78
BRONX,High Bridge and Morrisania,Fall,3,overnight,5.473684210526316,3.9949090409687718,76
BRONX,High Bridge and Morrisania,Fall,4,afternoon,12.551282051282051,5.966676805495007,78
BRONX,High Bridge and Morrisania,Fall,4,evening,27.41025641025641,13.007925553528018,78
BRONX,High Bridge and Morrisania,Fall,4,morning,7.078947368421052,3.408863575620618,76
BRONX,High Bridge and Morrisania,Fall,4,night,35.3974358974359,16.664247243639192,78
BRONX,High Bridge and Morrisania,Fall,4,overnight,7.256410256410256,6.182160966774823,78
BRONX,High Bridge and Morrisania,Fall,5,afternoon,18.55128205128205,7.881669405697798,78
BRONX,High Bridge and Morrisania,Fall,5,evening,30.28205128205128,14.718040379775854,78
BRONX,High Bridge and Morrisania,Fall,5,morning,9.884615384615385,5.578206128889788,78
BRONX,High Bridge and Morrisania,Fall,5,night,48.8974358974359,25.264620169340212,78
BRONX,High Bridge and Morrisania,Fall,5,overnight,14.102564102564102,9.423085417979548,78
BRONX,High Bridge and Morrisania,Fall,6,afternoon,18.064102564102566,7.438649059708346,78
BRONX,High Bridge and Morrisania,Fall,6,evening,27.397435897435898,17.790512387290338,78
